category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Global and overview maps,hsa01240,Biosynthesis of cofactors,11/436,30/1067,0.36666666666666664,0.8973241590214066,-0.47396545058497425,0.7438384751311252,0.9949196738743784,0.9949196738743783,P17812/P48506/P30566/P27708/P30837/P31153/P13995/P34949/P30520/P07814/P11586,11
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,11/436,30/1067,0.36666666666666664,0.8973241590214066,-0.47396545058497425,0.7438384751311252,0.9949196738743784,0.9949196738743783,P10321/P62826/P27797/O43306/Q9Y490/P27824/P43487/Q9Y277/P04440/Q9H6Z4/Q08209,11
Cellular Processes,Transport and catabolism,hsa04146,Peroxisome,5/436,14/1067,0.35714285714285715,0.8740170380078637,-0.39424737871449933,0.7440530279853709,0.9949196738743784,0.9949196738743783,Q06830/P04040/P22307/P50542/O00116,5
Organismal Systems,Aging,hsa04213,Longevity regulating pathway - multiple species,5/436,14/1067,0.35714285714285715,0.8740170380078637,-0.39424737871449933,0.7440530279853709,0.9949196738743784,0.9949196738743783,Q9Y478/P11142/O43306/P04040/O14654,5
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,5/436,14/1067,0.35714285714285715,0.8740170380078637,-0.39424737871449933,0.7440530279853709,0.9949196738743784,0.9949196738743783,P10321/P55957/Q9NT62/Q14790/Q08209,5
Human Diseases,Infectious disease: bacterial,hsa05130,Pathogenic Escherichia coli infection,14/436,38/1067,0.3684210526315789,0.9016175760502173,-0.5131080128746469,0.7502719954226224,0.9949196738743784,0.9949196738743783,P19338/Q13546/Q13153/P35579/P04406/O95486/P61158/P63261/P60953/Q14790/Q14247/P07437/P35580/Q13177,14
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,6/436,17/1067,0.35294117647058826,0.863734484619536,-0.4705685971276852,0.7611524161510328,0.9949196738743784,0.9949196738743783,P62805/O14929/Q01970/Q9Y277/P63261/Q8IUE6,6
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,6/436,17/1067,0.35294117647058826,0.863734484619536,-0.4705685971276852,0.7611524161510328,0.9949196738743784,0.9949196738743783,Q9Y478/P14618/Q01970/P60510/P06737/Q08209,6
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,6/436,17/1067,0.35294117647058826,0.863734484619536,-0.4705685971276852,0.7611524161510328,0.9949196738743784,0.9949196738743783,P09211/O14641/P63261/O96019/Q8TAQ2/Q92922,6
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,13/436,36/1067,0.3611111111111111,0.8837283384301733,-0.589661759297282,0.7756015515488899,0.9949196738743784,0.9949196738743783,P28331/P20674/P14406/P25705/P14854/O75251/P06576/Q15904/Q15181/P18859/Q9H2U2/O43181/P22695,13
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,8/436,23/1067,0.34782608695652173,0.8512165935380933,-0.5993428571838355,0.7905962079565795,0.9949196738743784,0.9949196738743783,P07900/Q13546/Q7Z434/Q01970/Q9Y277/P62258/Q14790/Q16513,8
Genetic Information Processing,"Folding, sorting and degradation",hsa03060,Protein export,4/436,12/1067,0.3333333333333333,0.815749235474006,-0.5333113901056141,0.793975520220486,0.9949196738743784,0.9949196738743783,P11021/P46379/O43765/P60468,4
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,4/436,12/1067,0.3333333333333333,0.815749235474006,-0.5333113901056141,0.793975520220486,0.9949196738743784,0.9949196738743783,P07900/P09211/P14625/P63261,4
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,32/436,86/1067,0.37209302325581395,0.9106037977384254,-0.718358043148296,0.7970292824607358,0.9949196738743784,0.9949196738743783,P28331/P20618/P09936/P62191/P20674/P14406/P33176/P43686/Q9UNM6/P22314/P51665/P25705/Q9Y277/O14818/P11021/P14854/Q12931/P17980/O75251/P60900/Q07866/P06576/P18859/P60604/Q9ULF5/O43181/P22695/P62195/Q13200/P07437/Q99460/P68036,32
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,30/436,81/1067,0.37037037037037035,0.9063880394155623,-0.7281863947310396,0.8007010393276562,0.9949196738743784,0.9949196738743783,P28331/P20618/P11142/P62191/P20674/P14406/P33176/P43686/Q9UNM6/P31948/P51665/P25705/Q9Y277/O14818/P11021/P14854/P17980/O75251/P60900/Q07866/P06576/P18859/P11047/O43181/P22695/P62195/Q08209/Q13200/P07437/Q99460,30
Genetic Information Processing,Translation,hsa03008,Ribosome biogenesis in eukaryotes,9/436,26/1067,0.34615384615384615,0.8471242060691602,-0.655703047391004,0.8034257431371248,0.9949196738743784,0.9949196738743783,P62826/Q7Z2Z2/Q9UNX4/Q9BVP2/Q9H0D6/Q13428/Q12788/Q9NX24/O15381,9
Genetic Information Processing,Replication and repair,hsa03030,DNA replication,5/436,15/1067,0.3333333333333333,0.815749235474006,-0.5971098364507328,0.8039634586325208,0.9949196738743784,0.9949196738743783,P33993/P27694/P33991/P12004/P25205,5
Organismal Systems,Circulatory system,hsa04260,Cardiac muscle contraction,5/436,15/1067,0.3333333333333333,0.815749235474006,-0.5971098364507328,0.8039634586325208,0.9949196738743784,0.9949196738743783,P05023/P20674/P14406/P14854/P22695,5
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,5/436,15/1067,0.3333333333333333,0.815749235474006,-0.5971098364507328,0.8039634586325208,0.9949196738743784,0.9949196738743783,Q9Y478/Q13546/P30837/P49327/Q14790,5
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,35/436,95/1067,0.3684210526315789,0.9016175760502173,-0.8347440960182896,0.8273657742056804,0.9949196738743784,0.9949196738743783,P28331/P20618/P62191/P20674/P14406/P33176/O14641/P55957/P43686/Q9UNM6/P51665/P25705/Q01970/Q9Y277/O14818/P04406/P14854/P17980/O75251/O14654/P60900/Q07866/P06576/P18859/Q9ULF5/O95197/O43181/Q14790/P22695/Q99714/P62195/Q08209/Q13200/P07437/Q99460,35
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,8/436,24/1067,0.3333333333333333,0.815749235474006,-0.758542524300493,0.8334218900670732,0.9949196738743784,0.9949196738743783,P06733/P00558/P14618/P30837/P04406/P60174/P36871/P09972,8
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,9/436,27/1067,0.3333333333333333,0.815749235474006,-0.8057154255753013,0.8424111411912502,0.9949196738743784,0.9949196738743783,P60891/P30566/O43306/P22234/P31939/P30520/P12268/P36871/P49915,9
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,9/436,27/1067,0.3333333333333333,0.815749235474006,-0.8057154255753013,0.8424111411912502,0.9949196738743784,0.9949196738743783,P55957/Q7Z434/P52292/P52948/Q15907/P63261/Q86U42/Q14790/P04440,9
Metabolism,Nucleotide metabolism,hsa00240,Pyrimidine metabolism,3/436,10/1067,0.3,0.7341743119266054,-0.7017244687401871,0.8474157703661827,0.9949196738743784,0.9949196738743783,P17812/P04818/P27708,3
Metabolism,Global and overview maps,hsa01210,2-Oxocarboxylic acid metabolism,3/436,10/1067,0.3,0.7341743119266054,-0.7017244687401871,0.8474157703661827,0.9949196738743784,0.9949196738743783,P00505/P50213/Q99798,3
Environmental Information Processing,Signal transduction,hsa04071,Sphingolipid signaling pathway,3/436,10/1067,0.3,0.7341743119266054,-0.7017244687401871,0.8474157703661827,0.9949196738743784,0.9949196738743783,P07339/P55957/Q01970,3
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,3/436,10/1067,0.3,0.7341743119266054,-0.7017244687401871,0.8474157703661827,0.9949196738743784,0.9949196738743783,P27797/Q01970/Q14790,3
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,35/436,96/1067,0.3645833333333333,0.8922257262996941,-0.9197044201072814,0.8483409871886578,0.9949196738743784,0.9949196738743783,P28331/P20618/P62191/P20674/P14406/P33176/Q14203/P43686/Q9UNM6/P63010/P51665/P25705/Q01970/Q9Y277/O14818/P14854/P17980/O75251/P52434/P60900/Q07866/P06576/P18859/P19388/O43181/Q00610/P09497/P08047/Q14790/P22695/P62195/Q13200/Q13561/P07437/Q99460,35
Metabolism,Global and overview maps,hsa01250,Biosynthesis of nucleotide sugars,4/436,13/1067,0.3076923076923077,0.7529992942836979,-0.7444863375064048,0.8483613670585348,0.9949196738743784,0.9949196738743783,Q13630/P34949/P36871/O95394,4
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,4/436,13/1067,0.3076923076923077,0.7529992942836979,-0.7444863375064048,0.8483613670585348,0.9949196738743784,0.9949196738743783,Q9Y478/P04040/Q93009/O14654,4
Cellular Processes,Transport and catabolism,hsa04137,Mitophagy - animal,4/436,13/1067,0.3076923076923077,0.7529992942836979,-0.7444863375064048,0.8483613670585348,0.9949196738743784,0.9949196738743783,P55072/Q7Z6Z7/P51149/P08047,4
Organismal Systems,Aging,hsa04211,Longevity regulating pathway,4/436,13/1067,0.3076923076923077,0.7529992942836979,-0.7444863375064048,0.8483613670585348,0.9949196738743784,0.9949196738743783,Q9Y478/O43306/P04040/O14654,4
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,4/436,13/1067,0.3076923076923077,0.7529992942836979,-0.7444863375064048,0.8483613670585348,0.9949196738743784,0.9949196738743783,P11142/P11047/Q14790/P04440,4
Metabolism,Metabolism of cofactors and vitamins,hsa00670,One carbon pool by folate,5/436,16/1067,0.3125,0.7647649082568807,-0.7877128130075576,0.8521889737965559,0.9949196738743784,0.9949196738743783,P04818/P31939/P31153/P13995/P11586,5
Human Diseases,Infectious disease: viral,hsa05162,Measles,5/436,16/1067,0.3125,0.7647649082568807,-0.7877128130075576,0.8521889737965559,0.9949196738743784,0.9949196738743783,P63244/P11142/P55957/Q7Z434/Q14790,5
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,17/436,49/1067,0.3469387755102041,0.8490451226362105,-0.8988318807390011,0.8529172439502024,0.9949196738743784,0.9949196738743783,P28331/Q9Y478/P20674/P14406/O43306/P25705/P14854/O75251/P63261/P06576/P18859/O96019/O43181/P22695/Q8TAQ2/P51812/Q92922,17
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,17/436,49/1067,0.3469387755102041,0.8490451226362105,-0.8988318807390011,0.8529172439502024,0.9949196738743784,0.9949196738743783,P28331/P07339/P20674/P14406/P25705/Q01970/Q9Y277/P04406/P14854/O75251/P06576/P18859/P09874/O43181/P08047/P22695/P11413,17
Metabolism,Amino acid metabolism,hsa00270,Cysteine and methionine metabolism,6/436,19/1067,0.3157894736842105,0.7728150651859005,-0.8302002415073577,0.8573438523413791,0.9949196738743784,0.9949196738743783,P48506/P26358/P31153/P00505/P52788/O43175,6
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,11/436,33/1067,0.3333333333333333,0.815749235474006,-0.8933325664826736,0.8589550605021115,0.9949196738743784,0.9949196738743783,P28331/Q9Y478/P20674/P14406/P55957/P14854/O75251/P60953/O43181/Q14790/P22695,11
Metabolism,Global and overview maps,hsa01100,Metabolic pathways,86/436,228/1067,0.37719298245614036,0.9230846611942701,-1.088194603513816,0.8781382304838679,0.9949196738743784,0.9949196738743783,P28331/P06733/Q15185/O43716/P17812/P00558/P60891/P48506/P04818/P37268/P30566/P27708/P09211/P20674/P14406/O95336/P10253/O43306/P22033/P26358/P07954/O00469/P22234/P21964/P14618/P31939/P29401/P04040/P40939/P30837/P25705/Q04760/Q01970/P31153/P22307/P00505/P04406/P60174/P14854/O75251/P13995/P52788/P13674/Q13630/P30519/O43175/P06576/P49327/Q15904/P18859/Q14697/P50213/P34949/P30520/P46976/P49441/P12268/Q15102/Q96I99/Q99798/P30084/P55084/O43181/P28838/P07814/P22695/Q99714/P06737/P06280/P56192/P04181/O94925/P36871/P68402/Q96AT9/P11413/P11586/Q9BWD1/P09972/O95394/Q9P2R7/P09960/Q8NF37/P49915/P53396/O00116,86
Metabolism,Carbohydrate metabolism,hsa00520,Amino sugar and nucleotide sugar metabolism,4/436,14/1067,0.2857142857142857,0.6992136304062909,-0.9412720251233042,0.8900847026878003,0.9949196738743784,0.9949196738743783,Q13630/P34949/P36871/O95394,4
Metabolism,Carbohydrate metabolism,hsa00630,Glyoxylate and dicarboxylate metabolism,4/436,14/1067,0.2857142857142857,0.6992136304062909,-0.9412720251233042,0.8900847026878003,0.9949196738743784,0.9949196738743783,P22033/P04040/Q99798/Q9BWD1,4
Organismal Systems,Immune system,hsa04660,T cell receptor signaling pathway,4/436,14/1067,0.2857142857142857,0.6992136304062909,-0.9412720251233042,0.8900847026878003,0.9949196738743784,0.9949196738743783,Q13153/P60953/Q08209/Q13177,4
Metabolism,Global and overview maps,hsa01232,Nucleotide metabolism,6/436,20/1067,0.3,0.7341743119266054,-0.9971161972758176,0.891959187836902,0.9949196738743784,0.9949196738743783,P17812/P04818/P30566/P30520/P12268/P49915,6
Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,3/436,11/1067,0.2727272727272727,0.6674311926605505,-0.921198164179229,0.8933584331780052,0.9949196738743784,0.9949196738743783,P09211/P12268/P49915,3
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,3/436,11/1067,0.2727272727272727,0.6674311926605505,-0.921198164179229,0.8933584331780052,0.9949196738743784,0.9949196738743783,P05023/O43306/Q01970,3
Organismal Systems,Endocrine system,hsa04914,Progesterone-mediated oocyte maturation,3/436,11/1067,0.2727272727272727,0.6674311926605505,-0.921198164179229,0.8933584331780052,0.9949196738743784,0.9949196738743783,P07900/O43306/P51812,3
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,7/436,23/1067,0.30434782608695654,0.7448145193458318,-1.0279613750224093,0.8948153504352634,0.9949196738743784,0.9949196738743783,Q9Y478/Q15717/P13639/Q15907/O14654/P49327/P61019,7
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,6/436,21/1067,0.2857142857142857,0.6992136304062909,-1.156669075128587,0.9191577386178478,0.9949196738743784,0.9949196738743783,P06733/P00558/P04406/P62877/P02786/P09972,6
Metabolism,Carbohydrate metabolism,hsa00620,Pyruvate metabolism,5/436,18/1067,0.2777777777777778,0.6797910295616718,-1.1383850142256564,0.9193631712313917,0.9949196738743784,0.9949196738743783,P07954/P14618/P30837/Q04760/Q9BWD1,5
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,4/436,15/1067,0.26666666666666666,0.6525993883792048,-1.125836969639888,0.9214015187079017,0.9949196738743784,0.9949196738743783,Q01844/P17844/P35637/P08047,4
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,9/436,30/1067,0.3,0.7341743119266054,-1.2270870228473238,0.9238822920283792,0.9949196738743784,0.9949196738743783,P10321/P62191/O14641/P14618/P08648/Q15904/P60953/P11047/Q14790,9
Human Diseases,Substance dependence,hsa05034,Alcoholism,3/436,12/1067,0.25,0.6118119266055045,-1.1236052212702305,0.9264860708305117,0.9949196738743784,0.9949196738743783,P62805/O14929/Q8IUE6,3
Genetic Information Processing,Translation,hsa00970,Aminoacyl-tRNA biosynthesis,7/436,25/1067,0.28,0.6852293577981653,-1.3232366841089667,0.93993740283115,0.9949196738743784,0.9949196738743783,O43716/O43776/P26639/P07814/P56192/P23381/P54577,7
Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,5/436,19/1067,0.2631578947368421,0.6440125543215838,-1.300882312542613,0.9415129279778247,0.9949196738743784,0.9949196738743783,Q9Y478/O14654/P49327/P46109/P06737,5
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,12/436,40/1067,0.3,0.7341743119266054,-1.4237996699183921,0.9461299818183336,0.9949196738743784,0.9949196738743783,P62273/P26373/P61247/Q7Z434/P05387/P25398/P05388/P32969/P62081/P46777/P05386/P63220,12
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,3/436,13/1067,0.23076923076923078,0.5647494707127735,-1.3118912818773576,0.9499234819621047,0.9949196738743784,0.9949196738743783,P05023/O43306/Q13153,3
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,3/436,13/1067,0.23076923076923078,0.5647494707127735,-1.3118912818773576,0.9499234819621047,0.9949196738743784,0.9949196738743783,P14618/O94925/P11413,3
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,5/436,20/1067,0.25,0.6118119266055045,-1.4560993648743066,0.9580308413581323,0.9949196738743784,0.9949196738743783,P10321/O60934/Q9Y277/P49959/Q08209,5
Human Diseases,Endocrine and metabolic disease,hsa04931,Insulin resistance,4/436,17/1067,0.23529411764705882,0.5758229897463573,-1.4648194746232097,0.9611959036874251,0.9949196738743784,0.9949196738743783,Q9Y478/O60502/P06737/P51812,4
Genetic Information Processing,Translation,hsa03010,Ribosome,11/436,40/1067,0.275,0.6729931192660551,-1.75149471905621,0.9746452335153852,0.9949196738743784,0.9949196738743783,P62273/P26373/P61247/P05387/P25398/P05388/P32969/P62081/P46777/P05386/P63220,11
Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,3/436,15/1067,0.2,0.48944954128440366,-1.6545641028290432,0.9774535566191687,0.9949196738743784,0.9949196738743783,O43306/Q01970/P07437,3
Organismal Systems,Endocrine system,hsa04919,Thyroid hormone signaling pathway,3/436,15/1067,0.2,0.48944954128440366,-1.6545641028290432,0.9774535566191687,0.9949196738743784,0.9949196738743783,P05023/Q01970/P63261,3
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,12/436,45/1067,0.26666666666666666,0.6525993883792048,-1.9784202795642813,0.9854491310213417,0.9949196738743784,0.9949196738743783,P28331/P20674/P14406/P04040/P25705/Q9Y277/P14854/O75251/P06576/P18859/O43181/P22695,12
Genetic Information Processing,Chromosome,hsa03083,Polycomb repressive complex,3/436,17/1067,0.17647058823529413,0.431867242309768,-1.9619449133709719,0.9901793210934529,0.9949196738743784,0.9949196738743783,P63208/Q93009/P25490,3
Human Diseases,Cancer: specific types,hsa05220,Chronic myeloid leukemia,1/436,10/1067,0.1,0.24472477064220183,-1.993769349060773,0.9949196738743784,0.9949196738743784,0.9949196738743783,P46109,1
